id,cps19_age,cps19_gender,cps19_interest_gen_1
1,30,2,NA
2,NA,2,6
3,19,2,8
4,21,NA,8
5,19,2,8
6,20,2,8
7,21,2,10
8,21,2,8
9,21,2,10
10,19,1,6
11,19,2,7
12,21,2,9
13,20,1,8
14,19,2,10
15,21,1,NA
16,19,2,7
17,19,2,7
18,19,2,8
19,19,2,10
20,21,2,8
21,19,2,8
22,19,1,9
23,24,1,9
24,20,2,8
25,19,2,9
26,19,2,8
27,19,2,10
28,22,2,7
29,20,1,7
30,19,2,10
31,19,1,9
32,19,2,9
33,20,1,10
34,24,2,9
35,21,2,10
36,19,1,7
37,19,2,9
38,19,2,7
39,22,1,10
40,19,1,7
41,19,2,8
42,19,2,8
43,19,2,8
44,21,2,8
45,21,1,8
46,19,2,10
47,21,2,9
48,20,2,7
49,23,1,9
50,19,2,8
51,19,2,8
52,20,1,8
53,19,2,6
54,19,1,9
55,23,2,10
56,21,1,7
57,20,2,8
58,22,3,9
59,20,2,10
60,19,2,8
61,19,1,8
62,20,2,7
63,21,2,7
64,22,1,7
65,23,2,10
66,19,1,8
67,19,2,10
68,19,2,7
69,22,2,7
70,19,2,7
71,20,2,10
72,21,2,8
73,20,2,8
74,20,2,5
75,22,1,9
76,22,2,7
77,19,2,9
78,23,1,2
79,22,1,9
80,50,2,3
81,63,2,NA
82,72,2,7
83,28,2,2
84,59,1,9
85,60,2,4
86,63,1,10
87,29,2,8
88,57,2,10
89,65,1,7
90,63,2,5
91,44,1,10
92,65,1,10
93,41,1,5
94,62,1,7
95,42,1,4
96,32,1,8
97,59,1,7
98,34,1,8
99,67,2,9
100,66,2,8
101,67,1,8
102,37,1,7
103,47,1,5
104,68,2,10
105,63,2,8
106,30,1,7
107,59,1,6
108,61,2,5
109,31,2,7
110,42,2,5
111,65,2,10
112,47,2,10
113,64,2,4
114,69,2,7
115,64,2,9
116,49,1,8
117,65,1,7
118,76,2,8
119,55,1,10
120,56,1,4
121,63,1,7
122,52,1,8
123,46,2,5
124,69,1,6
125,47,2,5
126,38,2,7
127,25,1,3
128,57,1,8
129,68,1,7
130,67,1,9
131,59,1,10
132,28,1,9
133,54,1,8
134,63,1,8
135,61,1,9
136,29,2,4
137,73,1,9
138,69,2,3
139,67,1,7
140,76,2,6
141,49,2,7
142,62,2,7
143,47,1,5
144,54,2,4
145,55,2,7
146,58,2,6
147,41,2,10
148,54,1,10
149,34,2,8
150,66,2,7
151,48,2,8
152,68,1,10
153,53,2,7
154,68,1,8
155,65,2,7
156,28,2,5
157,40,2,3
158,28,2,7
159,69,1,7
160,35,2,6
161,34,1,10
162,56,1,NA
163,28,2,1
164,68,2,6
165,44,2,6
166,50,1,5
167,39,2,7
168,61,1,10
169,74,1,7
170,54,1,8
171,40,1,8
172,60,2,6
173,54,2,8
174,46,2,5
175,60,2,7
176,59,1,9
177,63,1,7
178,67,1,8
179,51,1,6
180,72,1,8
181,56,2,4
182,37,2,3
183,60,2,8
184,81,1,8
185,63,1,7
186,39,2,2
187,63,1,8
188,61,2,3
189,65,1,10
190,72,2,8
191,39,2,10
192,99,2,7
193,81,1,8
194,70,2,2
195,30,2,1
196,37,1,7
197,52,1,5
198,55,1,10
199,49,2,7
200,81,1,9
201,66,1,10
202,73,1,8
203,30,2,NA
204,53,2,10
205,57,1,6
206,84,1,7
207,69,1,7
208,80,1,9
209,60,1,9
210,25,1,9
211,36,1,8
212,60,2,7
213,69,1,5
214,58,2,8
215,49,2,3
216,63,1,7
217,19,2,8
218,26,2,10
219,64,1,7
220,62,1,10
221,57,1,10
222,65,2,8
223,66,1,7
224,60,2,6
225,43,1,8
226,63,1,7
227,58,1,9
228,55,1,6
229,58,2,6
230,74,1,7
231,42,1,7
232,56,1,4
233,36,2,8
234,73,1,5
235,42,2,2
236,36,1,6
237,50,2,7
238,73,1,8
239,40,2,3
240,82,1,8
241,41,2,8
242,80,1,8
243,55,1,8
244,71,2,8
245,42,1,5
246,32,1,8
247,77,2,7
248,57,1,8
249,56,1,9
250,60,1,7
251,64,1,8
252,23,2,1
253,68,2,10
254,28,1,7
255,72,1,8
256,64,2,NA
257,40,2,7
258,78,2,6
259,29,1,6
260,59,1,6
261,39,1,8
262,45,2,5
263,33,2,4
264,66,2,4
265,47,2,7
266,68,3,9
267,35,2,6
268,70,1,9
269,67,1,NA
270,43,1,10
271,35,1,1
272,62,2,8
273,41,1,6
274,68,2,5
275,62,2,6
276,33,2,7
277,35,1,5
278,79,1,8
279,46,1,8
280,34,1,3
281,47,1,6
282,74,2,9
283,46,1,9
284,47,2,7
285,57,1,1
286,36,1,3
287,30,2,10
288,52,2,7
289,74,2,9
290,71,1,8
291,68,2,6
292,48,2,5
293,75,2,6
294,65,1,9
295,86,2,NA
296,37,1,7
297,73,1,6
298,63,1,4
299,72,2,8
300,54,1,3
301,50,1,4
302,61,1,6
303,44,1,10
304,40,1,7
305,56,1,8
306,34,2,3
307,59,1,3
308,57,2,10
309,31,1,7
310,59,1,6
311,63,2,9
312,61,1,8
313,54,2,2
314,67,1,10
315,72,1,6
316,53,1,6
317,30,1,8
318,23,1,4
319,59,1,10
320,60,2,7
321,73,1,8
322,59,2,6
323,69,2,4
324,83,2,6
325,57,2,7
326,58,1,8
327,50,2,10
328,73,2,7
329,37,2,4
330,52,2,10
331,79,1,8
332,70,2,NA
333,99,2,6
334,65,1,6
335,64,2,2
336,72,2,5
337,39,2,8
338,73,1,10
339,35,1,8
340,67,1,7
341,69,2,8
342,61,2,4
343,49,2,2
344,56,2,8
345,32,2,6
346,20,1,3
347,63,1,8
348,75,2,8
349,58,2,6
350,76,2,0
351,49,2,8
352,59,2,6
353,60,2,8
354,56,2,NA
355,61,2,7
356,61,2,9
357,61,2,10
358,68,2,7
359,62,1,6
360,39,1,6
361,38,2,6
362,45,2,5
363,50,2,9
364,71,1,6
365,45,1,10
366,70,2,10
367,49,1,8
368,36,2,7
369,49,1,10
370,54,2,6
371,51,2,5
372,61,2,8
373,56,1,8
374,53,2,7
375,51,1,8
376,56,2,2
377,64,1,6
378,47,2,0
379,44,2,6
380,52,1,9
381,65,1,9
382,45,2,1
383,48,3,6
384,57,1,10
385,53,1,8
386,47,1,6
387,82,2,10
388,54,2,8
389,50,2,7
390,47,2,1
391,52,2,8
392,56,1,2
393,39,2,5
394,21,2,2
395,70,2,7
396,58,2,8
397,60,1,9
398,25,1,8
399,58,1,7
400,61,1,7
401,72,1,7
402,39,1,10
403,52,2,4
404,56,2,5
405,65,2,6
406,54,1,3
407,48,2,2
408,36,2,3
409,71,2,NA
410,72,2,0
411,49,2,10
412,52,1,6
413,59,1,6
414,31,1,7
415,42,2,NA
416,76,2,NA
417,49,1,NA
418,48,2,7
419,72,1,5
420,73,2,9
421,29,1,8
422,60,2,9
423,75,2,7
424,32,1,9
425,62,1,9
426,19,2,10
427,38,1,7
428,61,1,8
429,62,2,6
430,44,1,5
431,34,2,3
432,24,1,7
433,62,1,7
434,31,1,8
435,34,1,7
436,48,1,7
437,64,1,9
438,32,1,10
439,31,2,3
440,64,1,6
441,76,1,10
442,75,2,3
443,68,2,7
444,57,2,9
445,47,2,8
446,31,2,4
447,18,2,4
448,69,1,10
449,28,2,4
450,39,1,6
451,61,1,7
452,45,2,7
453,81,1,10
454,47,2,8
455,31,2,2
456,68,2,6
457,59,2,8
458,36,2,6
459,59,2,7
460,69,1,7
461,64,1,NA
462,54,2,7
463,34,1,9
464,51,2,7
465,70,2,7
466,21,2,5
467,35,1,7
468,71,1,8
469,63,2,0
470,39,1,6
471,48,2,2
472,39,2,8
473,39,2,3
474,51,1,8
475,29,2,4
476,64,2,7
477,56,2,8
478,63,1,10
479,72,1,8
480,18,1,NA
481,82,2,5
482,49,2,6
483,35,1,8
484,50,2,NA
485,66,1,8
486,43,1,4
487,32,2,1
488,69,1,8
489,67,2,NA
490,48,2,8
491,56,2,9
492,53,2,7
493,33,2,7
494,56,2,1
495,61,1,8
496,30,2,7
497,47,1,4
498,44,2,2
499,45,1,7
500,40,1,9
501,46,1,5
502,45,1,1
503,41,1,7
504,57,1,7
505,33,1,8
506,67,2,6
507,55,2,7
508,75,1,7
509,55,2,7
510,19,2,7
511,67,2,8
512,68,2,10
513,68,1,3
514,40,1,5
515,64,1,7
516,35,2,4
517,61,1,10
518,57,2,6
519,45,1,4
520,52,1,2
521,30,2,8
522,19,2,6
523,45,1,6
524,70,2,4
525,55,2,7
526,65,1,10
527,44,2,2
528,71,1,5
529,62,2,9
530,70,2,7
531,36,1,10
532,56,2,7
533,72,2,7
534,59,2,7
535,52,2,9
536,83,2,8
537,62,2,9
538,58,1,2
539,34,1,8
540,27,2,8
541,56,1,7
542,55,1,7
543,72,1,NA
544,55,1,7
545,54,2,6
546,30,2,8
547,62,2,8
548,76,1,6
549,64,2,NA
550,78,1,8
551,26,1,8
552,54,2,7
553,63,1,2
554,76,2,8
555,53,1,6
556,62,1,9
557,42,1,7
558,84,1,3
559,44,2,8
560,65,1,9
561,64,2,9
562,40,1,2
563,53,2,9
564,50,1,7
565,71,1,8
566,53,1,7
567,29,2,7
568,49,2,7
569,49,2,4
570,69,1,4
571,56,1,9
572,64,2,1
573,71,2,5
574,63,2,7
575,49,2,5
576,53,1,10
577,54,2,8
578,56,2,8
579,70,2,8
580,49,2,8
581,67,1,9
582,48,1,3
583,53,2,5
584,40,2,6
585,75,2,9
586,63,1,10
587,38,1,10
588,31,1,7
589,37,1,7
590,62,2,4
591,52,1,8
592,46,2,5
593,47,1,9
594,81,1,8
595,43,2,3
596,57,1,3
597,46,2,10
598,67,2,7
599,66,1,10
600,67,1,9
601,67,1,9
602,61,1,7
603,38,2,2
604,65,1,8
605,70,1,9
606,76,1,8
607,39,2,3
608,56,1,10
609,81,1,6
610,70,1,8
611,65,1,7
612,62,2,7
613,45,1,9
614,40,1,10
615,49,1,10
616,55,2,7
617,65,1,8
618,70,2,2
619,42,1,7
620,25,2,0
621,40,2,9
622,59,1,10
623,47,1,2
624,67,2,NA
625,70,1,2
626,73,1,9
627,46,2,NA
628,34,2,6
629,54,2,6
630,30,2,2
631,71,1,9
632,47,1,7
633,57,2,3
634,68,2,NA
635,57,2,8
636,61,2,9
637,44,1,2
638,65,1,8
639,46,1,7
640,45,1,10
641,42,2,5
642,48,1,8
643,65,2,7
644,34,2,5
645,73,2,7
646,55,2,6
647,50,1,5
648,54,2,0
649,65,2,7
650,41,2,6
651,51,2,7
652,58,2,8
653,75,1,6
654,71,1,9
655,56,2,1
656,62,1,7
657,76,1,9
658,71,1,5
659,88,1,7
660,57,2,8
661,51,2,8
662,67,1,9
663,75,2,7
664,58,3,NA
665,41,2,2
666,50,1,9
667,61,1,7
668,42,1,6
669,73,1,10
670,53,2,6
671,70,1,10
672,31,1,6
673,38,2,6
674,46,2,9
675,51,2,6
676,72,1,10
677,53,1,10
678,72,1,8
679,67,2,2
680,48,1,8
681,55,2,4
682,66,2,6
683,73,2,5
684,36,2,6
685,72,1,10
686,61,2,9
687,61,1,10
688,57,2,7
689,70,1,10
690,63,2,2
691,59,1,10
692,45,2,8
693,78,2,4
694,40,1,9
695,57,2,0
696,44,2,8
697,63,1,3
698,30,2,8
699,46,2,8
700,73,2,2
701,66,2,6
702,63,2,6
703,46,1,8
704,60,2,6
705,68,1,5
706,35,2,7
707,70,1,10
708,35,1,6
709,40,2,5
710,65,2,9
711,42,2,10
712,75,1,7
713,63,2,3
714,69,2,8
715,76,2,8
716,36,2,8
717,54,2,6
718,32,1,10
719,33,2,7
720,54,2,3
721,62,1,7
722,51,2,7
723,66,1,8
724,30,2,9
725,42,2,3
726,64,1,3
727,59,2,4
728,38,2,6
729,31,1,10
730,52,1,6
731,36,2,5
732,47,3,NA
733,33,2,7
734,77,1,5
735,76,1,8
736,36,1,8
737,45,1,6
738,57,1,9
739,56,2,1
740,72,2,NA
741,63,2,8
742,42,1,5
743,72,2,9
744,69,1,8
745,50,1,8
746,39,2,7
747,76,1,7
748,35,1,7
749,64,2,10
750,62,1,4
751,35,2,2
752,55,2,9
753,33,2,3
754,57,1,6
755,55,1,6
756,81,2,10
757,44,2,3
758,27,1,6
759,52,1,2
760,49,2,6
761,61,1,6
762,72,2,7
763,37,2,7
764,34,2,8
765,54,2,10
766,59,1,10
767,99,2,7
768,35,2,5
769,45,2,7
770,59,2,7
771,67,2,7
772,46,2,5
773,52,1,8
774,45,1,6
775,71,2,NA
776,61,1,4
777,52,1,9
778,47,2,9
779,41,2,8
780,41,2,5
781,52,2,7
782,39,1,5
783,75,1,9
784,65,2,5
785,45,1,8
786,62,2,7
787,51,1,0
788,60,2,8
789,73,1,4
790,46,2,6
791,59,2,NA
792,49,2,5
793,41,1,5
794,55,2,6
795,63,2,6
796,59,2,10
797,42,2,NA
798,37,2,10
799,30,1,8
800,35,1,9
801,52,2,7
802,57,2,9
803,56,2,7
804,34,2,10
805,66,1,9
806,70,2,8
807,52,1,7
808,74,2,3
809,65,2,8
810,61,2,7
811,52,1,7
812,40,1,6
813,67,1,6
814,56,2,3
815,53,2,6
816,65,2,6
817,50,2,7
818,55,2,7
819,31,1,6
820,73,1,5
821,45,1,10
822,68,1,9
823,65,2,6
824,83,1,9
825,36,2,10
826,76,2,10
827,40,2,7
828,53,1,2
829,53,2,0
830,46,1,9
831,22,1,5
832,53,2,9
833,70,2,10
834,53,2,8
835,65,2,6
836,65,2,8
837,71,1,6
838,67,2,2
839,55,1,1
840,23,2,6
841,53,1,8
842,39,1,7
843,72,1,NA
844,48,1,4
845,70,1,8
846,76,2,6
847,45,2,6
848,57,2,6
849,53,1,8
850,67,1,8
851,37,2,0
852,57,2,3
853,65,2,2
854,62,2,10
855,70,1,6
856,74,1,6
857,72,1,8
858,46,2,7
859,40,2,5
860,60,2,10
861,62,2,7
862,37,2,4
863,57,2,5
864,64,1,10
865,67,2,7
866,51,1,8
867,41,1,8
868,51,2,5
869,42,1,6
870,61,1,5
