"","tv","won2","sex2","catholic","sophdum3"
"1",1,0,1,0,0
"2",1,0.666666686534882,0,0,1
"3",1,0.333333343267441,1,0,1
"4",1,0.16666667163372,1,NA,1
"5",1,0.333333343267441,1,1,1
"6",1,0.16666667163372,1,0,1
"7",1,0.16666667163372,1,0,0
"8",1,0,1,0,0
"9",1,0,0,0,1
"10",1,0.16666667163372,1,0,0
"11",1,0.5,1,0,1
"12",1,0.16666667163372,0,0,0
"13",1,0.333333343267441,0,0,0
"14",1,0.5,0,0,1
"15",1,0,0,0,0
"16",1,0.16666667163372,0,1,1
"17",1,0.16666667163372,1,0,1
"18",1,0.333333343267441,1,0,0
"19",1,0.16666667163372,0,0,1
"20",1,0.16666667163372,1,0,1
"21",1,0.16666667163372,0,1,0
"22",1,0.16666667163372,1,NA,1
"23",1,0,1,0,1
"24",1,0.16666667163372,1,NA,1
"25",1,0.666666686534882,1,0,1
"26",1,0.16666667163372,0,0,1
"27",1,0,0,0,1
"28",1,0.333333343267441,1,0,1
"29",1,0.16666667163372,1,0,0
"30",1,0.333333343267441,1,0,0
"31",1,0,1,1,0
"32",1,0,1,0,0
"33",1,0.333333343267441,0,0,1
"34",1,0.333333343267441,1,1,0
"35",1,0,0,0,1
"36",1,0.16666667163372,1,0,0
"37",1,0.16666667163372,1,0,1
"38",1,0,1,1,1
"39",1,0.666666686534882,1,1,0
"40",1,0.833333313465118,1,0,0
"41",1,0.333333343267441,1,1,0
"42",1,0.16666667163372,1,1,0
"43",1,0.5,1,0,0
"44",1,0.16666667163372,1,1,0
"45",1,1,1,0,0
"46",1,0.16666667163372,1,0,0
"47",1,0.333333343267441,1,1,1
"48",1,0.333333343267441,1,0,0
"49",1,0.5,0,0,0
"50",1,0.16666667163372,1,0,0
"51",1,0.16666667163372,0,0,1
"52",1,0.333333343267441,1,NA,1
"53",1,0.333333343267441,1,0,1
"54",1,0.333333343267441,NA,NA,NA
"55",1,NA,1,0,1
"56",1,0.16666667163372,NA,NA,NA
"57",1,0.333333343267441,0,0,0
"58",1,0,1,0,0
"59",1,0.666666686534882,0,0,1
"60",1,0.16666667163372,0,1,1
"61",1,0.16666667163372,0,0,0
"62",1,0.16666667163372,1,0,1
"63",1,0.16666667163372,1,1,0
"64",1,0.666666686534882,0,0,1
"65",1,0.16666667163372,1,0,0
"66",1,0.833333313465118,0,0,1
"67",1,0.333333343267441,0,NA,0
"68",1,0,1,0,0
"69",1,0,1,NA,1
"70",1,0.16666667163372,1,1,1
"71",1,0.666666686534882,0,1,0
"72",1,0,1,0,1
"73",1,0.16666667163372,1,0,0
"74",1,0.16666667163372,1,0,0
"75",1,0,1,0,1
"76",1,0.333333343267441,1,0,0
"77",1,0,1,0,0
"78",1,0.5,1,1,0
"79",1,0,1,0,0
"80",1,0.16666667163372,NA,0,1
"81",1,0.16666667163372,NA,0,1
"82",1,0.833333313465118,0,0,0
"83",1,0.5,1,0,1
"84",1,0.333333343267441,0,0,1
"85",1,0.16666667163372,1,0,1
"86",0,0.16666667163372,1,0,0
"87",0,0.5,0,0,0
"88",0,0.666666686534882,1,0,0
"89",0,0.16666667163372,0,1,1
"90",0,0.16666667163372,1,0,0
"91",0,0.16666667163372,1,0,0
"92",0,0.5,1,NA,0
"93",0,0.333333343267441,0,0,1
"94",0,0.333333343267441,1,0,0
"95",0,0.666666686534882,0,0,0
"96",0,0.333333343267441,1,1,1
"97",0,0.333333343267441,1,0,1
"98",0,0.16666667163372,1,0,1
"99",0,0.833333313465118,1,1,1
"100",0,0.16666667163372,0,0,1
"101",0,0.5,1,0,0
"102",0,0.333333343267441,1,0,1
"103",0,0.333333343267441,1,0,0
"104",0,0.333333343267441,0,0,0
"105",0,0.16666667163372,1,0,0
